,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.09,3,0.03,40,0.352
1,0.09,3,0.03,48,0.3883
2,0.09,3,0.03,56,0.4101
3,0.09,3,0.03,64,0.4386
4,0.09,3,0.03,72,0.4484
5,0.09,3,0.03,80,0.4549
6,0.09,3,0.03,88,0.4734
7,0.09,3,0.03,40,0.3831
8,0.09,3,0.03,48,0.4044
9,0.09,3,0.03,56,0.4151
10,0.09,3,0.03,64,0.4404
11,0.09,3,0.03,72,0.4547
12,0.09,3,0.03,80,0.4533
13,0.09,3,0.03,88,0.4715
14,0.09,5,0.03,40,0.2281
15,0.09,5,0.03,48,0.2721
16,0.09,5,0.03,56,0.2985
17,0.09,5,0.03,64,0.3281
18,0.09,5,0.03,72,0.3507
19,0.09,5,0.03,80,0.3614
20,0.09,5,0.03,88,0.3872
21,0.09,5,0.03,40,0.2809
22,0.09,5,0.03,48,0.3032
23,0.09,5,0.03,56,0.3286
24,0.09,5,0.03,64,0.3407
25,0.09,5,0.03,72,0.3655
26,0.09,5,0.03,80,0.3838
27,0.09,5,0.03,88,0.404
28,0.09,7,0.03,40,0.1474
29,0.09,7,0.03,48,0.1694
30,0.09,7,0.03,56,0.1988
31,0.09,7,0.03,64,0.2185
32,0.09,7,0.03,72,0.2294
33,0.09,7,0.03,80,0.2623
34,0.09,7,0.03,88,0.2739
35,0.09,7,0.03,40,0.1917
36,0.09,7,0.03,48,0.2133
37,0.09,7,0.03,56,0.2334
38,0.09,7,0.03,64,0.2521
39,0.09,7,0.03,72,0.2688
40,0.09,7,0.03,80,0.2819
41,0.09,7,0.03,88,0.2982
42,0.09999999999999999,3,0.03,40,0.3522
43,0.09999999999999999,3,0.03,48,0.3785
44,0.09999999999999999,3,0.03,56,0.4116
45,0.09999999999999999,3,0.03,64,0.4268
46,0.09999999999999999,3,0.03,72,0.4452
47,0.09999999999999999,3,0.03,80,0.4628
48,0.09999999999999999,3,0.03,88,0.4709
49,0.09999999999999999,3,0.03,40,0.3707
50,0.09999999999999999,3,0.03,48,0.4077
51,0.09999999999999999,3,0.03,56,0.4192
52,0.09999999999999999,3,0.03,64,0.4445
53,0.09999999999999999,3,0.03,72,0.4637
54,0.09999999999999999,3,0.03,80,0.4619
55,0.09999999999999999,3,0.03,88,0.4745
56,0.09999999999999999,5,0.03,40,0.2382
57,0.09999999999999999,5,0.03,48,0.2736
58,0.09999999999999999,5,0.03,56,0.3004
59,0.09999999999999999,5,0.03,64,0.3245
60,0.09999999999999999,5,0.03,72,0.3468
61,0.09999999999999999,5,0.03,80,0.3699
62,0.09999999999999999,5,0.03,88,0.3897
63,0.09999999999999999,5,0.03,40,0.2849
64,0.09999999999999999,5,0.03,48,0.3136
65,0.09999999999999999,5,0.03,56,0.335
66,0.09999999999999999,5,0.03,64,0.3477
67,0.09999999999999999,5,0.03,72,0.3757
68,0.09999999999999999,5,0.03,80,0.3807
69,0.09999999999999999,5,0.03,88,0.3976
70,0.09999999999999999,7,0.03,40,0.1508
71,0.09999999999999999,7,0.03,48,0.1726
72,0.09999999999999999,7,0.03,56,0.19
73,0.09999999999999999,7,0.03,64,0.2155
74,0.09999999999999999,7,0.03,72,0.2339
75,0.09999999999999999,7,0.03,80,0.2541
76,0.09999999999999999,7,0.03,88,0.2636
77,0.09999999999999999,7,0.03,40,0.2064
78,0.09999999999999999,7,0.03,48,0.2276
79,0.09999999999999999,7,0.03,56,0.2429
80,0.09999999999999999,7,0.03,64,0.2553
81,0.09999999999999999,7,0.03,72,0.2746
82,0.09999999999999999,7,0.03,80,0.2907
83,0.09999999999999999,7,0.03,88,0.3058
84,0.11,3,0.03,40,0.3475
85,0.11,3,0.03,48,0.3836
86,0.11,3,0.03,56,0.4207
87,0.11,3,0.03,64,0.4251
88,0.11,3,0.03,72,0.4485
89,0.11,3,0.03,80,0.4529
90,0.11,3,0.03,88,0.4665
91,0.11,3,0.03,40,0.3786
92,0.11,3,0.03,48,0.4113
93,0.11,3,0.03,56,0.431
94,0.11,3,0.03,64,0.4337
95,0.11,3,0.03,72,0.4519
96,0.11,3,0.03,80,0.4732
97,0.11,3,0.03,88,0.4752
98,0.11,5,0.03,40,0.2427
99,0.11,5,0.03,48,0.2691
100,0.11,5,0.03,56,0.301
101,0.11,5,0.03,64,0.3149
102,0.11,5,0.03,72,0.3436
103,0.11,5,0.03,80,0.3648
104,0.11,5,0.03,88,0.3825
105,0.11,5,0.03,40,0.3018
106,0.11,5,0.03,48,0.3197
107,0.11,5,0.03,56,0.3419
108,0.11,5,0.03,64,0.3658
109,0.11,5,0.03,72,0.3869
110,0.11,5,0.03,80,0.3877
111,0.11,5,0.03,88,0.4067
112,0.11,7,0.03,40,0.143
113,0.11,7,0.03,48,0.17
114,0.11,7,0.03,56,0.196
115,0.11,7,0.03,64,0.2136
116,0.11,7,0.03,72,0.2289
117,0.11,7,0.03,80,0.2473
118,0.11,7,0.03,88,0.2722
119,0.11,7,0.03,40,0.2219
120,0.11,7,0.03,48,0.2375
121,0.11,7,0.03,56,0.256
122,0.11,7,0.03,64,0.2642
123,0.11,7,0.03,72,0.2836
124,0.11,7,0.03,80,0.2991
125,0.11,7,0.03,88,0.3185
126,0.12,3,0.03,40,0.3535
127,0.12,3,0.03,48,0.3824
128,0.12,3,0.03,56,0.4135
129,0.12,3,0.03,64,0.4287
130,0.12,3,0.03,72,0.4529
131,0.12,3,0.03,80,0.4602
132,0.12,3,0.03,88,0.459
133,0.12,3,0.03,40,0.3848
134,0.12,3,0.03,48,0.416
135,0.12,3,0.03,56,0.4256
136,0.12,3,0.03,64,0.4457
137,0.12,3,0.03,72,0.4528
138,0.12,3,0.03,80,0.4724
139,0.12,3,0.03,88,0.4722
140,0.12,5,0.03,40,0.2449
141,0.12,5,0.03,48,0.2732
142,0.12,5,0.03,56,0.2945
143,0.12,5,0.03,64,0.3256
144,0.12,5,0.03,72,0.3514
145,0.12,5,0.03,80,0.3672
146,0.12,5,0.03,88,0.3828
147,0.12,5,0.03,40,0.3119
148,0.12,5,0.03,48,0.3211
149,0.12,5,0.03,56,0.3422
150,0.12,5,0.03,64,0.3716
151,0.12,5,0.03,72,0.3779
152,0.12,5,0.03,80,0.3894
153,0.12,5,0.03,88,0.4087
154,0.12,7,0.03,40,0.1416
155,0.12,7,0.03,48,0.173
156,0.12,7,0.03,56,0.1931
157,0.12,7,0.03,64,0.2147
158,0.12,7,0.03,72,0.2329
159,0.12,7,0.03,80,0.2487
160,0.12,7,0.03,88,0.2656
161,0.12,7,0.03,40,0.2322
162,0.12,7,0.03,48,0.2601
163,0.12,7,0.03,56,0.2585
164,0.12,7,0.03,64,0.286
165,0.12,7,0.03,72,0.2952
166,0.12,7,0.03,80,0.3106
167,0.12,7,0.03,88,0.3241
168,0.13,3,0.03,40,0.3515
169,0.13,3,0.03,48,0.3787
170,0.13,3,0.03,56,0.4166
171,0.13,3,0.03,64,0.4288
172,0.13,3,0.03,72,0.4407
173,0.13,3,0.03,80,0.4481
174,0.13,3,0.03,88,0.4638
175,0.13,3,0.03,40,0.3797
176,0.13,3,0.03,48,0.4085
177,0.13,3,0.03,56,0.4379
178,0.13,3,0.03,64,0.441
179,0.13,3,0.03,72,0.4578
180,0.13,3,0.03,80,0.4716
181,0.13,3,0.03,88,0.4718
182,0.13,5,0.03,40,0.2411
183,0.13,5,0.03,48,0.2743
184,0.13,5,0.03,56,0.3021
185,0.13,5,0.03,64,0.3246
186,0.13,5,0.03,72,0.3351
187,0.13,5,0.03,80,0.3649
188,0.13,5,0.03,88,0.3857
189,0.13,5,0.03,40,0.3005
190,0.13,5,0.03,48,0.338
191,0.13,5,0.03,56,0.3508
192,0.13,5,0.03,64,0.3712
193,0.13,5,0.03,72,0.385
194,0.13,5,0.03,80,0.3902
195,0.13,5,0.03,88,0.4166
196,0.13,7,0.03,40,0.1457
197,0.13,7,0.03,48,0.1706
198,0.13,7,0.03,56,0.1906
199,0.13,7,0.03,64,0.2129
200,0.13,7,0.03,72,0.2318
201,0.13,7,0.03,80,0.2464
202,0.13,7,0.03,88,0.2721
203,0.13,7,0.03,40,0.2487
204,0.13,7,0.03,48,0.2751
205,0.13,7,0.03,56,0.2787
206,0.13,7,0.03,64,0.2985
207,0.13,7,0.03,72,0.3053
208,0.13,7,0.03,80,0.3219
209,0.13,7,0.03,88,0.3397
210,0.14,3,0.03,40,0.3558
211,0.14,3,0.03,48,0.3869
212,0.14,3,0.03,56,0.4158
213,0.14,3,0.03,64,0.4306
214,0.14,3,0.03,72,0.4413
215,0.14,3,0.03,80,0.4592
216,0.14,3,0.03,88,0.46
217,0.14,3,0.03,40,0.3943
218,0.14,3,0.03,48,0.4123
219,0.14,3,0.03,56,0.435
220,0.14,3,0.03,64,0.4514
221,0.14,3,0.03,72,0.4516
222,0.14,3,0.03,80,0.4657
223,0.14,3,0.03,88,0.4737
224,0.14,5,0.03,40,0.2383
225,0.14,5,0.03,48,0.275
226,0.14,5,0.03,56,0.2945
227,0.14,5,0.03,64,0.3205
228,0.14,5,0.03,72,0.3432
229,0.14,5,0.03,80,0.3664
230,0.14,5,0.03,88,0.3858
231,0.14,5,0.03,40,0.3203
232,0.14,5,0.03,48,0.343
233,0.14,5,0.03,56,0.3597
234,0.14,5,0.03,64,0.3784
235,0.14,5,0.03,72,0.3974
236,0.14,5,0.03,80,0.4101
237,0.14,5,0.03,88,0.43
238,0.14,7,0.03,40,0.1476
239,0.14,7,0.03,48,0.1698
240,0.14,7,0.03,56,0.1978
241,0.14,7,0.03,64,0.2162
242,0.14,7,0.03,72,0.2419
243,0.14,7,0.03,80,0.2499
244,0.14,7,0.03,88,0.2625
245,0.14,7,0.03,40,0.2644
246,0.14,7,0.03,48,0.2849
247,0.14,7,0.03,56,0.3009
248,0.14,7,0.03,64,0.3092
249,0.14,7,0.03,72,0.3234
250,0.14,7,0.03,80,0.335
251,0.14,7,0.03,88,0.3455
252,0.15,3,0.03,40,0.3536
253,0.15,3,0.03,48,0.3918
254,0.15,3,0.03,56,0.4114
255,0.15,3,0.03,64,0.4319
256,0.15,3,0.03,72,0.4475
257,0.15,3,0.03,80,0.4566
258,0.15,3,0.03,88,0.4722
259,0.15,3,0.03,40,0.3853
260,0.15,3,0.03,48,0.4242
261,0.15,3,0.03,56,0.4401
262,0.15,3,0.03,64,0.4467
263,0.15,3,0.03,72,0.4552
264,0.15,3,0.03,80,0.4733
265,0.15,3,0.03,88,0.4753
266,0.15,5,0.03,40,0.247
267,0.15,5,0.03,48,0.2697
268,0.15,5,0.03,56,0.3013
269,0.15,5,0.03,64,0.3215
270,0.15,5,0.03,72,0.3439
271,0.15,5,0.03,80,0.3661
272,0.15,5,0.03,88,0.3814
273,0.15,5,0.03,40,0.3279
274,0.15,5,0.03,48,0.3522
275,0.15,5,0.03,56,0.3633
276,0.15,5,0.03,64,0.3878
277,0.15,5,0.03,72,0.3924
278,0.15,5,0.03,80,0.4162
279,0.15,5,0.03,88,0.4141
280,0.15,7,0.03,40,0.1472
281,0.15,7,0.03,48,0.1739
282,0.15,7,0.03,56,0.1956
283,0.15,7,0.03,64,0.2142
284,0.15,7,0.03,72,0.2379
285,0.15,7,0.03,80,0.2538
286,0.15,7,0.03,88,0.2698
287,0.15,7,0.03,40,0.2758
288,0.15,7,0.03,48,0.3033
289,0.15,7,0.03,56,0.3082
290,0.15,7,0.03,64,0.3173
291,0.15,7,0.03,72,0.3334
292,0.15,7,0.03,80,0.3507
293,0.15,7,0.03,88,0.3562
294,0.16,3,0.03,40,0.3569
295,0.16,3,0.03,48,0.3972
296,0.16,3,0.03,56,0.4102
297,0.16,3,0.03,64,0.4354
298,0.16,3,0.03,72,0.4421
299,0.16,3,0.03,80,0.4538
300,0.16,3,0.03,88,0.4663
301,0.16,3,0.03,40,0.3992
302,0.16,3,0.03,48,0.4267
303,0.16,3,0.03,56,0.4426
304,0.16,3,0.03,64,0.4404
305,0.16,3,0.03,72,0.4538
306,0.16,3,0.03,80,0.4645
307,0.16,3,0.03,88,0.4822
308,0.16,5,0.03,40,0.2388
309,0.16,5,0.03,48,0.28
310,0.16,5,0.03,56,0.3
311,0.16,5,0.03,64,0.3193
312,0.16,5,0.03,72,0.3476
313,0.16,5,0.03,80,0.3679
314,0.16,5,0.03,88,0.3746
315,0.16,5,0.03,40,0.3387
316,0.16,5,0.03,48,0.3499
317,0.16,5,0.03,56,0.3779
318,0.16,5,0.03,64,0.3925
319,0.16,5,0.03,72,0.4032
320,0.16,5,0.03,80,0.4192
321,0.16,5,0.03,88,0.4301
322,0.16,7,0.03,40,0.1394
323,0.16,7,0.03,48,0.1739
324,0.16,7,0.03,56,0.1842
325,0.16,7,0.03,64,0.2131
326,0.16,7,0.03,72,0.2283
327,0.16,7,0.03,80,0.253
328,0.16,7,0.03,88,0.2626
329,0.16,7,0.03,40,0.2967
330,0.16,7,0.03,48,0.3142
331,0.16,7,0.03,56,0.3259
332,0.16,7,0.03,64,0.3339
333,0.16,7,0.03,72,0.3479
334,0.16,7,0.03,80,0.3681
335,0.16,7,0.03,88,0.3706
